#K0 hydro vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
2.7150e+02 9.6142e-08 7.9632e-08 6.5290e-08 5.3205e-08 4.3180e-08 3.5056e-08 2.8554e-08 2.3328e-08 1.8753e-08
2.7250e+02 4.5300e-08 4.0368e-08 3.6099e-08 3.2399e-08 2.9100e-08 2.6080e-08 2.3197e-08 2.0280e-08 1.6998e-08
2.7350e+02 7.2120e-08 6.1370e-08 5.2093e-08 4.4262e-08 3.7659e-08 3.2112e-08 2.7368e-08 2.3142e-08 1.8908e-08
2.7450e+02 5.7033e-08 5.1106e-08 4.5773e-08 4.0980e-08 3.6613e-08 3.2609e-08 2.8853e-08 2.5259e-08 2.1504e-08
2.7550e+02 8.2548e-08 7.1047e-08 6.0916e-08 5.2131e-08 4.4513e-08 3.7942e-08 3.2213e-08 2.7126e-08 2.2215e-08
2.7650e+02 1.2635e-07 1.0611e-07 8.8384e-08 7.3214e-08 6.0351e-08 4.9599e-08 4.0659e-08 3.3182e-08 2.6549e-08
2.7750e+02 1.1747e-07 1.0049e-07 8.5563e-08 7.2657e-08 6.1514e-08 5.1945e-08 4.3696e-08 3.6486e-08 2.9816e-08
2.7850e+02 5.9025e-08 5.4165e-08 4.9632e-08 4.5393e-08 4.1343e-08 3.7428e-08 3.3537e-08 2.9535e-08 2.5026e-08
2.7950e+02 3.7859e-08 3.6035e-08 3.4296e-08 3.2572e-08 3.0798e-08 2.8974e-08 2.7040e-08 2.5009e-08 2.2694e-08
2.8050e+02 4.3521e-08 4.1200e-08 3.8991e-08 3.6834e-08 3.4654e-08 3.2441e-08 3.0123e-08 2.7685e-08 2.4874e-08
2.8150e+02 8.5434e-08 7.6042e-08 6.7718e-08 6.0364e-08 5.3765e-08 4.7783e-08 4.2177e-08 3.6705e-08 3.0794e-08
2.8250e+02 9.0520e-08 7.9333e-08 6.9832e-08 6.1804e-08 5.4884e-08 4.8803e-08 4.3222e-08 3.7838e-08 3.2027e-08
2.8350e+02 5.8499e-08 5.4583e-08 5.1033e-08 4.7770e-08 4.4610e-08 4.1459e-08 3.8153e-08 3.4512e-08 2.9974e-08
2.8450e+02 4.0029e-08 3.8722e-08 3.7386e-08 3.5990e-08 3.4411e-08 3.2589e-08 3.0378e-08 2.7614e-08 2.3791e-08
