#MURAM HIGH RES FROM SOWMYA
wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.03388 7.401337562089082e-06 7.0576930012977e-06 6.75037436510543e-06 6.4516831208048085e-06 6.1523899994084075e-06 5.84689911217191e-06 5.527742684843193e-06 5.180169000912212e-06 4.760115873784602e-06
430.03474 7.212462986259364e-06 6.872268273571443e-06 6.571476330620338e-06 6.281500119776578e-06 5.992260810070276e-06 5.696877157282825e-06 5.387691323635797e-06 5.050048232300945e-06 4.639521799559816e-06
430.0356 7.053369667837866e-06 6.710781841531847e-06 6.409522376737336e-06 6.122226301278514e-06 5.837912481922368e-06 5.548156796332374e-06 5.245676078842362e-06 4.915148900061786e-06 4.5114994501602055e-06
430.03646 6.867121303585563e-06 6.519112930674876e-06 6.214746016431559e-06 5.9290933650531235e-06 5.649335817214756e-06 5.365640581526308e-06 5.070536047622913e-06 4.746728381169708e-06 4.348709460942312e-06
430.03732 6.5882607748758375e-06 6.2393230045737544e-06 5.935179095402172e-06 5.656597101849545e-06 5.386944195297418e-06 5.114805806345107e-06 4.831207543822497e-06 4.516125849840816e-06 4.122495056342156e-06
430.03818 6.16096287427305e-06 5.826225766925566e-06 5.535300439643227e-06 5.27497023128532e-06 5.025578550276853e-06 4.773268688235392e-06 4.506631655578185e-06 4.203347888218394e-06 3.815764240250841e-06
430.03904 5.576579367771817e-06 5.277347854807311e-06 5.0201107267873e-06 4.7914259788836514e-06 4.571103568323604e-06 4.345871130792371e-06 4.10158935218185e-06 3.8149573354020576e-06 3.4399988428867015e-06
430.0399 4.91357458320097e-06 4.661860165572347e-06 4.449665109295951e-06 4.259942815534714e-06 4.072728010177059e-06 3.876802211084416e-06 3.657618378688134e-06 3.392354925202301e-06 3.0394838605187422e-06
430.04076 4.314155321533989e-06 4.095945343308289e-06 3.921562789223526e-06 3.7646782489615425e-06 3.6052773281220853e-06 3.4334829600059765e-06 3.2362884719080723e-06 2.993621653132269e-06 2.6694709942325436e-06
430.04163 3.86584602326925e-06 3.662077289729317e-06 3.5101895755914952e-06 3.3725987218395774e-06 3.2297645128059557e-06 3.072515261294882e-06 2.8892653650209997e-06 2.664476651782896e-06 2.3690908904007072e-06
430.04249 3.560397346217764e-06 3.371445660605408e-06 3.2329052748951273e-06 3.1044566653064408e-06 2.96898388133268e-06 2.8180140324346033e-06 2.6412833392271503e-06 2.426286139597178e-06 2.1507209002425e-06
430.04335 3.364800220885088e-06 3.2004397126933206e-06 3.0734992769853867e-06 2.949780537957154e-06 2.8162001048681844e-06 2.665993948848551e-06 2.4901628957608483e-06 2.278146578886231e-06 2.0117373465812474e-06
430.04421 3.2723668617265003e-06 3.134805640356665e-06 3.017113364842488e-06 2.8954609529583164e-06 2.7607756972197743e-06 2.6074715443528004e-06 2.4279937686760226e-06 2.2130621266328955e-06 1.947241957836094e-06
430.04507 3.3022683238559824e-06 3.1790562259718108e-06 3.0649034388679518e-06 2.941429107356642e-06 2.8021350071359084e-06 2.642043945611835e-06 2.4541391867400196e-06 2.2300689043979034e-06 1.955573534159766e-06
430.04593 3.4770898377638314e-06 3.350781354684347e-06 3.2319979031830606e-06 3.100334222210567e-06 2.950063996241255e-06 2.776996724156706e-06 2.574117709135307e-06 2.3330907721678884e-06 2.0384573316201725e-06
430.04679 3.8172765097873655e-06 3.6796448406299786e-06 3.5469407879846264e-06 3.3972930190381053e-06 3.2259800197115498e-06 3.029398348516586e-06 2.8007274465993685e-06 2.5306462227291638e-06 2.200801156567105e-06
430.04765 4.354103560779653e-06 4.1976726661596354e-06 4.0386832469087405e-06 3.857904447344304e-06 3.6524052521955426e-06 3.4183714977169897e-06 3.1494929842098664e-06 2.833812073331884e-06 2.4504797623445524e-06
430.04851 5.090122260847062e-06 4.898604107362181e-06 4.698967747814042e-06 4.4762735456227106e-06 4.226540713219509e-06 3.944635042409416e-06 3.624157566609033e-06 3.249902636965749e-06 2.7985097665477843e-06
430.04937 5.94514261534161e-06 5.7126333632343725e-06 5.464975033870886e-06 5.196785392669712e-06 4.901378390842564e-06 4.5715172155565824e-06 4.1990238787654615e-06 3.765957941417449e-06 3.244866742490836e-06
