K0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04       i03
1.8950e+02 2.5050e-10 2.2098e-10 1.9758e-10 1.7651e-10 1.5657e-10 1.3683e-10 1.1645e-10 9.4274e-11 7.1104e-11
1.9050e+02 2.5803e-10 2.2844e-10 2.0465e-10 1.8310e-10 1.6266e-10 1.4232e-10 1.2142e-10 9.8719e-11 7.5007e-11
1.9150e+02 2.9132e-10 2.5828e-10 2.3173e-10 2.0775e-10 1.8492e-10 1.6211e-10 1.3845e-10 1.1269e-10 8.5550e-11
1.9250e+02 3.0431e-10 2.7112e-10 2.4344e-10 2.1802e-10 1.9359e-10 1.6918e-10 1.4393e-10 1.1663e-10 8.7991e-11
1.9350e+02 2.6514e-10 2.3768e-10 2.1386e-10 1.9180e-10 1.7064e-10 1.4971e-10 1.2849e-10 1.0564e-10 8.2063e-11
1.9450e+02 3.7000e-10 3.2913e-10 2.9539e-10 2.6449e-10 2.3492e-10 2.0544e-10 1.7481e-10 1.4153e-10 1.0652e-10
1.9550e+02 4.0766e-10 3.6387e-10 3.2777e-10 2.9469e-10 2.6280e-10 2.3077e-10 1.9735e-10 1.6077e-10 1.2183e-10
1.9670e+02 4.7097e-10 4.1906e-10 3.7629e-10 3.3722e-10 2.9970e-10 2.6220e-10 2.2288e-10 1.7998e-10 1.3442e-10
1.9760e+02 4.8948e-10 4.3962e-10 3.9722e-10 3.5775e-10 3.1924e-10 2.8031e-10 2.3944e-10 1.9463e-10 1.4687e-10
1.9840e+02 5.2619e-10 4.6988e-10 4.2299e-10 3.7985e-10 3.3842e-10 2.9685e-10 2.5325e-10 2.0559e-10 1.5471e-10
1.9950e+02 5.5728e-10 4.9717e-10 4.4714e-10 4.0119e-10 3.5710e-10 3.1288e-10 2.6650e-10 2.1586e-10 1.6188e-10
2.0050e+02 5.8459e-10 5.2326e-10 4.7170e-10 4.2407e-10 3.7830e-10 3.3232e-10 2.8411e-10 2.3145e-10 1.7505e-10
2.0150e+02 6.4553e-10 5.7756e-10 5.2043e-10 4.6799e-10 4.1754e-10 3.6680e-10 3.1331e-10 2.5492e-10 1.9229e-10
2.0250e+02 6.1042e-10 5.4874e-10 4.9578e-10 4.4653e-10 3.9892e-10 3.5111e-10 3.0109e-10 2.4661e-10 1.8850e-10
2.0350e+02 7.3672e-10 6.5899e-10 5.9390e-10 5.3426e-10 4.7691e-10 4.1902e-10 3.5815e-10 2.9149e-10 2.2001e-10
2.0450e+02 8.0767e-10 7.2119e-10 6.4889e-10 5.8291e-10 5.1958e-10 4.5574e-10 3.8859e-10 3.1523e-10 2.3669e-10
2.0550e+02 8.6536e-10 7.7694e-10 7.0150e-10 6.3189e-10 5.6436e-10 4.9610e-10 4.2402e-10 3.4522e-10 2.6016e-10
2.0650e+02 9.0064e-10 8.0966e-10 7.3149e-10 6.5892e-10 5.8849e-10 5.1713e-10 4.4190e-10 3.5954e-10 2.7100e-10
2.0740e+02 9.2811e-10 8.3411e-10 7.5280e-10 6.7713e-10 6.0346e-10 5.2909e-10 4.5068e-10 3.6551e-10 2.7422e-10
2.0780e+02 1.0977e-09 9.8756e-10 8.9955e-10 8.2148e-10 7.4673e-10 6.7014e-10 5.8418e-10 4.8895e-10 3.8875e-10
2.0850e+02 1.1671e-09 1.0548e-09 9.6266e-10 8.7980e-10 7.9994e-10 7.1841e-10 6.2602e-10 5.2469e-10 4.1625e-10
2.0950e+02 1.4778e-09 1.3162e-09 1.1882e-09 1.0773e-09 9.7411e-10 8.7153e-10 7.5777e-10 6.3231e-10 4.9562e-10
2.1050e+02 1.9621e-09 1.6638e-09 1.4429e-09 1.2648e-09 1.1143e-09 9.7843e-10 8.3991e-10 6.9313e-10 5.3711e-10
2.1150e+02 2.3662e-09 1.9605e-09 1.6670e-09 1.4384e-09 1.2520e-09 1.0891e-09 9.2788e-10 7.5892e-10 5.8070e-10
2.1250e+02 2.2625e-09 1.9122e-09 1.6533e-09 1.4469e-09 1.2739e-09 1.1190e-09 9.6220e-10 7.9572e-10 6.1899e-10
2.1350e+02 2.6412e-09 2.2327e-09 1.9315e-09 1.6869e-09 1.4802e-09 1.2980e-09 1.1166e-09 9.2461e-10 7.2146e-10
2.1450e+02 2.9491e-09 2.4119e-09 2.0229e-09 1.7229e-09 1.4831e-09 1.2815e-09 1.0882e-09 8.8970e-10 6.8353e-10
2.1550e+02 2.9591e-09 2.4495e-09 2.0822e-09 1.7959e-09 1.5632e-09 1.3635e-09 1.1685e-09 9.6496e-10 7.4974e-10
2.1650e+02 2.7993e-09 2.3699e-09 2.0504e-09 1.7937e-09 1.5777e-09 1.3845e-09 1.1899e-09 9.8518e-10 7.6819e-10
2.1750e+02 2.9644e-09 2.5201e-09 2.1887e-09 1.9214e-09 1.6947e-09 1.4898e-09 1.2823e-09 1.0627e-09 8.2950e-10
2.1850e+02 3.5134e-09 2.8830e-09 2.4291e-09 2.0776e-09 1.7966e-09 1.5600e-09 1.3309e-09 1.0949e-09 8.4739e-10
2.1950e+02 3.8390e-09 3.1940e-09 2.7220e-09 2.3506e-09 2.0465e-09 1.7835e-09 1.5264e-09 1.2597e-09 9.7530e-10
2.2050e+02 3.8436e-09 3.2204e-09 2.7560e-09 2.3858e-09 2.0799e-09 1.8128e-09 1.5521e-09 1.2784e-09 9.9003e-10
2.2150e+02 3.5949e-09 3.1090e-09 2.7359e-09 2.4233e-09 2.1501e-09 1.9013e-09 1.6466e-09 1.3761e-09 1.0858e-09
2.2250e+02 4.4163e-09 3.7114e-09 3.1793e-09 2.7507e-09 2.3932e-09 2.0850e-09 1.7864e-09 1.4756e-09 1.1499e-09
2.2350e+02 5.9220e-09 4.8221e-09 4.0011e-09 3.3604e-09 2.8534e-09 2.4398e-09 2.0663e-09 1.6970e-09 1.3119e-09
