wavelength i10 i09 i08 i07 i06 i05 i04 i03 i02
430.00894 1.5004315539212284e-05 1.3338454680705716e-05 1.1820114348094431e-05 1.045793796200654e-05 9.233587029566588e-06 8.138326173706072e-06 7.170079058639229e-06 6.31224783712464e-06 5.532291439984394e-06
430.0098 1.498538555779065e-05 1.3327721993749242e-05 1.1833152026932733e-05 1.0491991546922556e-05 9.287117739530634e-06 8.211041611422365e-06 7.262604211230554e-06 6.425461275985059e-06 5.667608551389577e-06
430.01066 1.4202103728317138e-05 1.2737359740971888e-05 1.1395913261916925e-05 1.0173494071121008e-05 9.06436081154939e-06 8.067849697006812e-06 7.186417272806883e-06 6.405933443812203e-06 5.6953807757218635e-06
430.01152 1.2881797418547707e-05 1.1713520805192512e-05 1.0603115343789799e-05 9.56415405116208e-06 8.604506010259978e-06 7.731223858411501e-06 6.950462733267139e-06 6.250404326944611e-06 5.598500910829057e-06
430.01238 1.1313073409749967e-05 1.0436558493262918e-05 9.577790530529813e-06 8.74988887269167e-06 7.966719275663188e-06 7.2393779618419225e-06 6.575442869259994e-06 5.964185592247446e-06 5.36729417787598e-06
430.01324 9.704415244625622e-06 9.062189290798348e-06 8.438869576576494e-06 7.819466964198082e-06 7.213691768727e-06 6.633186878336596e-06 6.08527682201346e-06 5.5573392357312675e-06 5.002458519174102e-06
430.0141 8.138130875553954e-06 7.699230618010572e-06 7.28363771748867e-06 6.849723821953824e-06 6.40275333184589e-06 5.954065735361962e-06 5.509255290709962e-06 5.051408635017112e-06 4.527115069244912e-06
430.01496 6.6706808885396824e-06 6.430783520240777e-06 6.1882793888584474e-06 5.905180087884534e-06 5.588421374630108e-06 5.248435323813851e-06 4.888180917573766e-06 4.488237867996407e-06 3.994241440283214e-06
430.01582 5.418661604001703e-06 5.3391304909360744e-06 5.220627072434727e-06 5.0467457990102695e-06 4.827652209023499e-06 4.571522849234638e-06 4.278480518884088e-06 3.929537271875471e-06 3.4740259348380586e-06
430.01668 4.49790045079273e-06 4.4934424689960476e-06 4.440314942132143e-06 4.33287601828188e-06 4.179115496343258e-06 3.983069840489236e-06 3.7420268032427464e-06 3.438800396679342e-06 3.0281651048004496e-06
430.01754 3.9189960056550435e-06 3.916942301705397e-06 3.8832045322196164e-06 3.8070067951319486e-06 3.6897886344912976e-06 3.5315543720968373e-06 3.327289824707974e-06 3.0611628354430723e-06 2.693247658818004e-06
