# M0 100G vt1 mean contrast spectra for all mus -- with molecular opacities, fixed rows
wavelength   i10       i09         i08        i07       i06        i05        i04  i03    
2.1050e+02 2.6496e-11 2.5495e-11 2.4969e-11 2.4491e-11 2.4032e-11 2.3529e-11 2.2887e-11 2.1934e-11 2.1092e-11
2.1150e+02 2.8866e-11 2.7818e-11 2.7301e-11 2.6867e-11 2.6474e-11 2.6032e-11 2.5456e-11 2.4515e-11 2.3496e-11
2.1250e+02 3.1914e-11 3.0871e-11 3.0384e-11 3.0015e-11 2.9699e-11 2.9338e-11 2.8820e-11 2.7841e-11 2.6583e-11
2.1350e+02 3.5013e-11 3.3892e-11 3.3412e-11 3.3094e-11 3.2836e-11 3.2586e-11 3.2207e-11 3.1289e-11 2.9864e-11
2.1450e+02 3.8235e-11 3.7101e-11 3.6670e-11 3.6428e-11 3.6286e-11 3.6169e-11 3.5913e-11 3.5059e-11 3.3444e-11
2.1550e+02 4.2296e-11 4.1081e-11 4.0645e-11 4.0459e-11 4.0382e-11 4.0366e-11 4.0249e-11 3.9490e-11 3.7710e-11
2.1650e+02 4.6324e-11 4.5080e-11 4.4720e-11 4.4604e-11 4.4697e-11 4.4891e-11 4.5001e-11 4.4379e-11 4.2434e-11
2.1750e+02 5.0566e-11 4.9249e-11 4.8902e-11 4.8843e-11 4.9047e-11 4.9381e-11 4.9788e-11 4.9465e-11 4.7534e-11
2.1850e+02 5.4355e-11 5.3128e-11 5.2873e-11 5.2977e-11 5.3390e-11 5.3955e-11 5.4685e-11 5.4654e-11 5.2786e-11
2.1950e+02 5.8573e-11 5.7326e-11 5.7003e-11 5.7202e-11 5.7705e-11 5.8467e-11 5.9601e-11 6.0136e-11 5.8717e-11
2.2050e+02 6.3667e-11 6.2415e-11 6.2149e-11 6.2490e-11 6.3196e-11 6.4208e-11 6.5619e-11 6.6559e-11 6.5301e-11
2.2150e+02 6.9937e-11 6.8780e-11 6.8668e-11 6.9211e-11 7.0210e-11 7.1491e-11 7.3211e-11 7.4545e-11 7.3405e-11
2.2250e+02 7.4098e-11 7.2907e-11 7.2701e-11 7.3395e-11 7.4516e-11 7.6189e-11 7.8430e-11 8.0599e-11 8.0278e-11
2.2350e+02 7.9154e-11 7.7837e-11 7.7595e-11 7.8286e-11 7.9459e-11 8.1455e-11 8.4133e-11 8.7119e-11 8.7853e-11
2.2450e+02 8.6249e-11 8.4882e-11 8.4733e-11 8.5537e-11 8.6942e-11 8.9233e-11 9.2233e-11 9.5595e-11 9.6820e-11
2.2550e+02 9.5451e-11 9.3945e-11 9.4131e-11 9.5141e-11 9.6765e-11 9.9658e-11 1.0320e-10 1.0753e-10 1.1002e-10
2.2650e+02 1.0307e-10 1.0152e-10 1.0198e-10 1.0343e-10 1.0548e-10 1.0912e-10 1.1352e-10 1.1852e-10 1.2143e-10
2.2750e+02 1.0932e-10 1.0781e-10 1.0822e-10 1.0973e-10 1.1178e-10 1.1570e-10 1.2070e-10 1.2672e-10 1.3166e-10
2.2850e+02 1.1598e-10 1.1417e-10 1.1462e-10 1.1615e-10 1.1837e-10 1.2251e-10 1.2813e-10 1.3531e-10 1.4199e-10
2.2950e+02 1.2720e-10 1.2539e-10 1.2608e-10 1.2792e-10 1.3044e-10 1.3489e-10 1.4085e-10 1.4846e-10 1.5596e-10
2.3050e+02 1.3312e-10 1.3139e-10 1.3228e-10 1.3461e-10 1.3758e-10 1.4280e-10 1.5004e-10 1.7088e-10 1.6708e-10
